id,preference
2410.1285,like
2408.05646,like
2410.23214,like
2312.03732,like
2307.13365,like
2502.13533,like
2410.10254,like
2502.0579,like
2006.04768,like
2501.15225,like
2304.11062,dislike
2411.07641,like
2503.04355,like
2504.15777,like
2306.05176,like
2404.04522,like
2406.10251,like
2407.11239,like
2406.1874,like
2504.14047,like
2311.03839,like
2504.13173,like
2410.13413,like
2504.16884,like
2504.16078,like
2305.13048,like
2504.16574,dislike
2504.1778,like
2504.15895,like
2410.05864,like
2402.15613,like
2503.18216,like
2504.15466,like
2501.17039,like
2407.02694,like
2504.12459,like
2407.0945,like
2504.05343,dislike
2504.15208,like
2504.13644,like
2504.16379,like
2504.16871,like
2504.16053,like
2210.15191,like
2504.15965,like
2412.15287,dislike
2411.07635,like
2504.15477,like
2504.17565,like
2409.14846,dislike
2504.13818,like
2410.17195,like
2104.09864,like
2406.17808,dislike
2504.16795,dislike
2504.13752,like
2312.04528,dislike
2410.14731,like
2406.0212,dislike
2407.00075,like
2403.0159,dislike
2504.13822,like
2409.05816,dislike
2410.19572,dislike
2409.20089,dislike
2504.16312,dislike
2410.10728,dislike
1809.08826,dislike
2201.03327,dislike
2504.15471,dislike
2410.01523,like
2405.15525,dislike
2410.08109,dislike
2406.09179,dislike
2406.12832,dislike
2504.15302,dislike
2403.07378,dislike
2503.10501,dislike
1809.10853,dislike
2504.15432,dislike
2501.13598,dislike
2312.16594,dislike
